"COVER","HEIGHT","rf","arf7","arf14","arf28","arf60","arf90","arf180","arf360","arf720","se","ase7","ase14","ase28","ase60","ase90","ase180","ase360","ase720","maxt","amaxt7","amaxt14","amaxt28","amaxt60","amaxt90","amaxt180","amaxt360","amaxt720","mint","amint7","amint14","amint28","amint60","amint90","amint180","amint360","amint720","dist_cfa","dist_camp","ws","aws_m0","aws_m1","aws_m3","aws_m6","aws_m12","aws_m24","dist_road","month","density_result","FOR_TYPE_Acacia","FOR_TYPE_Callitris","FOR_TYPE_Hardwood_plantation","FOR_TYPE_Melaleuca","FOR_TYPE_Non_forest","FOR_TYPE_Other_forest___unallocated_type","FOR_TYPE_Other_native_forest","FOR_TYPE_Rainforest","FOR_TYPE_Softwood_plantation","FOR_TYPE_Eucalypt"
1,1,0,5.68571428571429,2.87142857142857,1.52857142857143,0.76,0.435,0.398888888888889,0.507777777777778,0.59125,20.9,19.5571428571429,24.2071428571429,26.15,26.5983333333333,23.8808333333333,20.0594444444444,17.5044444444444,17.6461111111111,36.4,25.3857142857143,28.0857142857143,30.3107142857143,33.1483333333333,32.3725,29.7355555555556,25.1913888888889,25.1333333333333,19.8,13.1142857142857,12.7,14.3892857142857,16.1066666666667,15.7775,13.6377777777778,10.195,10.3058333333333,16509.5103149439,128380.816992177,7.475,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.91432426046958,5.93367459574545,550.154512184327,"Nov",0.00648652603886104,0,0,0,0,0,0,0,0,0,1
1,1,0,3.82857142857143,1.91428571428571,0.957142857142857,0.486666666666667,0.286666666666667,0.3,0.445,0.509861111111111,18.1,18.6571428571429,23.4785714285714,25.6535714285714,25.9366666666667,23.3266666666667,19.7011111111111,17.2613888888889,17.4093055555556,36.4,25.4428571428571,28.1928571428571,31.0178571428571,33.8066666666667,32.75,29.7905555555556,25.1033333333333,25.0455555555556,24,13.0428571428571,12.4071428571429,13.9535714285714,15.8733333333333,15.3958333333333,13.5133333333333,10.1838888888889,10.2627777777778,36274.0683302929,94151.4426815793,14.6433333333333,10.2696273243351,8.8309134596378,8.77382219046798,7.9179901594753,8.30329247801656,8.39473772364337,1157.64307057035,"Nov",0.0198330009787342,0,0,0,0,0,0,0,0,0,1
1,1,0,3.82857142857143,1.91428571428571,0.957142857142857,0.486666666666667,0.286666666666667,0.3,0.445,0.509861111111111,18.1,18.6571428571429,23.4785714285714,25.6535714285714,25.9366666666667,23.3266666666667,19.7011111111111,17.2613888888889,17.4093055555556,36.4,25.4428571428571,28.1928571428571,31.0178571428571,33.8066666666667,32.75,29.7905555555556,25.1033333333333,25.0455555555556,24,13.0428571428571,12.4071428571429,13.9535714285714,15.8733333333333,15.3958333333333,13.5133333333333,10.1838888888889,10.2627777777778,32652.7513422307,96498.7706269,14.6433333333333,10.2696273243351,8.8309134596378,8.77382219046798,7.9179901594753,8.30329247801656,8.39473772364337,1.91926726941289,"Nov",0.0164443465723564,0,0,0,0,0,0,0,0,0,1
1,1,0,3.82857142857143,1.91428571428571,0.957142857142857,0.486666666666667,0.286666666666667,0.3,0.445,0.509861111111111,18.1,18.6571428571429,23.4785714285714,25.6535714285714,25.9366666666667,23.3266666666667,19.7011111111111,17.2613888888889,17.4093055555556,36.4,25.4428571428571,28.1928571428571,31.0178571428571,33.8066666666667,32.75,29.7905555555556,25.1033333333333,25.0455555555556,24,13.0428571428571,12.4071428571429,13.9535714285714,15.8733333333333,15.3958333333333,13.5133333333333,10.1838888888889,10.2627777777778,21608.5824457691,84555.9552799335,14.6433333333333,10.2696273243351,8.8309134596378,8.77382219046798,7.9179901594753,8.30329247801656,8.39473772364337,922.843180208998,"Nov",0.013975485963049,0,0,0,0,0,0,0,0,0,1
2,2,0,8.57142857142857,4.54285714285714,2.52142857142857,2.3,1.425,1.15666666666667,1.22277777777778,1.39444444444444,29,11.4285714285714,17.5571428571429,19.2214285714286,19.57,18.4683333333333,15.7822222222222,14.3177777777778,14.3808333333333,35.2,22.2285714285714,22.9,24.7785714285714,26.015,25.8858333333333,24.46,21.205,21.0584722222222,14.2,13.5142857142857,12.6571428571429,14,14.8783333333333,14.215,12.8816666666667,9.99055555555556,10.1666666666667,16651.3292461577,15468.92685271,7.475,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.90551806096133,5.92603976719316,484.183034345382,"Nov",0.244871661721926,0,0,0,0,0,0,0,1,0,0
2,3,0,10.7142857142857,5.88571428571429,3.38571428571429,2.94,2.09833333333333,1.71444444444444,1.53555555555556,1.52638888888889,29.3,12.4428571428571,18.1714285714286,19.5035714285714,19.745,18.5833333333333,15.8277777777778,14.2130555555556,14.2327777777778,34.5,20.7285714285714,22.0928571428571,23.625,24.8716666666667,24.7316666666667,23.1011111111111,19.8375,19.9041666666667,20,14.0857142857143,12.8642857142857,13.8464285714286,14.5533333333333,14.2258333333333,12.9816666666667,10.2891666666667,10.3815277777778,10651.4141398715,7376.35974107109,14.6433333333333,10.2696273243351,8.8309134596378,8.77382219046798,7.9179901594753,8.30329247801656,8.39473772364337,25.658594136695,"Nov",0.277617869144436,0,0,0,0,0,0,0,0,0,1
2,2,0,10.7142857142857,5.88571428571429,3.38571428571429,2.94,2.09833333333333,1.71444444444444,1.53555555555556,1.52638888888889,29.3,12.4428571428571,18.1714285714286,19.5035714285714,19.745,18.5833333333333,15.8277777777778,14.2130555555556,14.2345833333333,34.5,20.7285714285714,22.0928571428571,23.625,24.8716666666667,24.7316666666667,23.1011111111111,19.8163888888889,19.8905555555556,20,14.0857142857143,12.8642857142857,13.8464285714286,14.5533333333333,14.2258333333333,12.9816666666667,10.2755555555556,10.3747222222222,14870.6334435241,12094.6896650424,14.6433333333333,10.2696273243351,8.8309134596378,8.77382219046798,7.9179901594753,8.30329247801656,8.39473772364337,184.876232526482,"Nov",0.41104782660501,0,0,0,0,0,0,0,0,0,1
2,3,0,9.6,5.15714285714286,3.27857142857143,3.1,2.12666666666667,1.68444444444444,1.71333333333333,1.76055555555556,30.6,12.2285714285714,19.9428571428571,20.4678571428571,20.59,18.915,16.2772222222222,14.7075,14.7086111111111,30.1,18.5,20.5428571428571,22.6535714285714,24.1366666666667,23.6625,21.9566666666667,17.7266666666667,17.6577777777778,15,10.6857142857143,9.8,10.9321428571429,12.01,11.21,10.1311111111111,7.08305555555556,7.11791666666667,8910.59516007165,9312.5119232642,7.475,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.90551806096133,5.92603976719316,1272.57114426714,"Nov",0.36352785479077,0,0,0,0,0,0,0,0,0,1
2,3,0,9.6,5.15714285714286,3.27857142857143,3.1,2.12666666666667,1.76777777777778,1.755,1.78111111111111,30.6,12.2285714285714,19.9428571428571,20.4678571428571,20.59,18.915,16.2772222222222,14.7075,14.7086111111111,30.1,18.5,20.5428571428571,22.6535714285714,24.1366666666667,23.6625,21.8566666666667,17.6766666666667,17.6418055555556,15,10.6857142857143,9.8,10.9321428571429,12.01,11.21,9.85166666666667,6.94333333333333,7.02013888888889,11600.274515642,12054.0839364698,7.475,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.91110793626867,5.93088609614133,403.268052493574,"Nov",0.363650264825466,0,0,0,0,0,0,0,0,0,1
2,3,0,8.57142857142857,4.54285714285714,2.52142857142857,2.3,1.425,1.15666666666667,1.21833333333333,1.39194444444444,29,11.4285714285714,17.5571428571429,19.2214285714286,19.57,18.4683333333333,15.7822222222222,14.3177777777778,14.3825,35.2,21.8428571428571,22.7071428571429,24.45,25.765,25.7616666666667,24.3444444444444,21.0802777777778,20.9048611111111,14.2,13.3285714285714,12.5642857142857,13.6464285714286,14.6683333333333,14.0291666666667,12.74,9.80888888888889,9.95763888888889,18404.7727984981,17476.4493873885,7.475,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.90551806096133,5.92603976719316,130.103940194866,"Nov",0.258030490735162,0,0,0,0,0,0,0,0,0,1
